,Tokens,Scores,,,,,,,,,,,,,,,,
4548,'Approach',-420,,,,,,,,,,,,,,,,
4549,'approach',-420,,,,,,,,,,,,,,,,
4550,'Approach',140,,,,,,,,,,,,,,,,
4551,'approach',140,,,,,,,,,,,,,,,,
4552,'Approach',140,,,,,,,,,,,,,,,,
4553,'Approach',-500,,,,,,,,,,,,,,,,
4554,'approach',-500,,,,,,,,,,,,,,,,
4555,'Approach',-340,,,,,,,,,,,,,,,,
4556,'approach',-340,,,,,,,,,,,,,,,,
4557,'Approach',-313.2,,,,,,,,,,,,,,,,
4558,'approach',-313.2,,,,,,,,,,,,,,,,
4559,'Approach',-100,,,,,,,,,,,,,,,,
4560,'approach',-100,,,,,,,,,,,,,,,,
4561,'Approach',40,,,,,,,,,,,,,,,,
4562,'approach',40,,,,,,,,,,,,,,,,
4563,'Approach',-268,,,,,,,,,,,,,,,,
4564,'approach',-268,,,,,,,,,,,,,,,,
4565,'Approach',-44,,,,,,,,,,,,,,,,
4566,'approach',-44,,,,,,,,,,,,,,,,
4567,'Approach',-244,,,,,,,,,,,,,,,,
4568,'approach',-244,,,,,,,,,,,,,,,,
4569,'Approach',-326.6,,,,,,,,,,,,,,,,
4570,'approach',-326.6,,,,,,,,,,,,,,,,
4571,'Approach',-220,,,,,,,,,,,,,,,,
4572,'approach',-220,,,,,,,,,,,,,,,,
4573,'Approach',-73.4,,,,,,,,,,,,,,,,
4574,'approach',-73.4,,,,,,,,,,,,,,,,
4575,'Approach',-460,,,,,,,,,,,,,,,,
4576,'approach',-460,,,,,,,,,,,,,,,,
4577,'Approach',-400,,,,,,,,,,,,,,,,
4578,'approach',-400,,,,,,,,,,,,,,,,
4579,'Approach',-140,,,,,,,,,,,,,,,,
4580,'approach',-140,,,,,,,,,,,,,,,,
4581,'Approach',-193.4,,,,,,,,,,,,,,,,
4582,'approach',-193.4,,,,,,,,,,,,,,,,
4583,'Approach',0,,,,,,,,,,,,,,,,
4584,'approach',0,,,,,,,,,,,,,,,,
4585,'Approach',166.9,,,,,,,,,,,,,,,,
4586,'approach',166.9,,,,,,,,,,,,,,,,
4587,'Approach',-300,,,,,,,,,,,,,,,,
4588,'approach',-300,,,,,,,,,,,,,,,,
4589,'Approach',-60,,,,,,,,,,,,,,,,
4590,'approach',-60,,,,,,,,,,,,,,,,
4591,'Approach',-20,,,,,,,,,,,,,,,,
4592,'approach',-20,,,,,,,,,,,,,,,,
4593,'Approach',-291,,,,,,,,,,,,,,,,
4594,'Approach',-171.2,,,,,,,,,,,,,,,,
4595,'approach',-171.2,,,,,,,,,,,,,,,,
4596,'Approach',-100,,,,,,,,,,,,,,,,
4597,'approach',-100,,,,,,,,,,,,,,,,
4598,'Approach',-60,,,,,,,,,,,,,,,,
4599,'approach',-60,,,,,,,,,,,,,,,,
4600,'Approach',-208.8,,,,,,,,,,,,,,,,
4601,'approach',-208.8,,,,,,,,,,,,,,,,
4602,'APPROACH',100,,,,,,,,,,,,,,,,
4603,'Approach',60,,,,,,,,,,,,,,,,
4604,'Approach',-60,,,,,,,,,,,,,,,,
4605,'Approach',-300,,,,,,,,,,,,,,,,
4606,'approach',-300,,,,,,,,,,,,,,,,
4607,'Approach',-300,,,,,,,,,,,,,,,,
4608,'approach',-300,,,,,,,,,,,,,,,,
4609,'Approach',-153.2,,,,,,,,,,,,,,,,
4610,'approach',-153.2,,,,,,,,,,,,,,,,
4611,"'approach,'",-340,,,,,,,,,,,,,,,,
4612,"'approach,'",-326.6,,,,,,,,,,,,,,,,
4613,'approach.',-193.2,,,,,,,,,,,,,,,,
4614,'approach.',-220,,,,,,,,,,,,,,,,
4615,'approach.',-244,,,,,,,,,,,,,,,,
4616,'approached',-44,,,,,,,,,,,,,,,,
4617,'approaches',-193.2,,,,,,,,,,,,,,,,
4618,'approaches',140,,,,,,,,,,,,,,,,
4619,'approaches',-500,,,,,,,,,,,,,,,,
4620,'approaches',-340,,,,,,,,,,,,,,,,
4621,'approaches',40,,,,,,,,,,,,,,,,
4622,'approaches',-268,,,,,,,,,,,,,,,,
4623,'approaches',-44,,,,,,,,,,,,,,,,
4624,'approaches',-73.4,,,,,,,,,,,,,,,,
4625,'approaches',-140,,,,,,,,,,,,,,,,
4626,'approaches',166.9,,,,,,,,,,,,,,,,
4627,'approaches',-171.2,,,,,,,,,,,,,,,,
4628,'approaches',100,,,,,,,,,,,,,,,,
4629,'Approaches',-60,,,,,,,,,,,,,,,,
4630,'approaches',-300,,,,,,,,,,,,,,,,
4631,'approaches',-300,,,,,,,,,,,,,,,,
4632,'approaches',-153.2,,,,,,,,,,,,,,,,
4633,"'approaches,'",-268,,,,,,,,,,,,,,,,
4634,'approaches.',-460,,,,,,,,,,,,,,,,
4635,'appropriate',-206.8,,,,,,,,,,,,,,,,
4636,'appropriate',-193.2,,,,,,,,,,,,,,,,
4637,'appropriate',-220,,,,,,,,,,,,,,,,
4638,'appropriate',140,,,,,,,,,,,,,,,,
4639,'appropriate',-100,,,,,,,,,,,,,,,,
4640,'appropriate',-244,,,,,,,,,,,,,,,,
4641,'appropriate',-220,,,,,,,,,,,,,,,,
4642,'appropriate',-460,,,,,,,,,,,,,,,,
4643,'appropriate',-140,,,,,,,,,,,,,,,,
4644,'appropriate',-193.4,,,,,,,,,,,,,,,,
4645,'appropriate',0,,,,,,,,,,,,,,,,
4646,'appropriate',166.9,,,,,,,,,,,,,,,,
4647,'appropriate',-171.2,,,,,,,,,,,,,,,,
4648,'appropriate',-100,,,,,,,,,,,,,,,,
4649,'appropriate',-153.2,,,,,,,,,,,,,,,,
4650,"'appropriate,'",-206.8,,,,,,,,,,,,,,,,
4651,"'appropriate,'",-460,,,,,,,,,,,,,,,,
4652,"'appropriate,'",-400,,,,,,,,,,,,,,,,
4653,"'appropriate,'",0,,,,,,,,,,,,,,,,
4654,"'appropriate,'",166.9,,,,,,,,,,,,,,,,
4655,"'appropriate,'",-208.8,,,,,,,,,,,,,,,,
4656,'appropriate.',-206.8,,,,,,,,,,,,,,,,
4657,'appropriately',-206.8,,,,,,,,,,,,,,,,
4658,'appropriately',-244,,,,,,,,,,,,,,,,
4659,'approval',-73.4,,,,,,,,,,,,,,,,
4660,'approval',60,,,,,,,,,,,,,,,,
4661,'approved',140,,,,,,,,,,,,,,,,
4662,'approved',40,,,,,,,,,,,,,,,,
4663,'approved',-153.2,,,,,,,,,,,,,,,,
4664,'approximately',-420,,,,,,,,,,,,,,,,
4665,'April',-193.2,,,,,,,,,,,,,,,,
4666,'April',-220,,,,,,,,,,,,,,,,
4667,'April',140,,,,,,,,,,,,,,,,
4668,'April',-44,,,,,,,,,,,,,,,,
4669,'April',-100,,,,,,,,,,,,,,,,
4670,'Apsley',0,,,,,,,,,,,,,,,,
4671,'APT',-60,,,,,,,,,,,,,,,,
4672,'aquatic',60,,,,,,,,,,,,,,,,
4673,'Arago',40,,,,,,,,,,,,,,,,
4674,'Arago).',40,,,,,,,,,,,,,,,,
4675,'Aramco',140,,,,,,,,,,,,,,,,
4676,'ArcelorMittal',-500,,,,,,,,,,,,,,,,
4677,'Archaeology',-244,,,,,,,,,,,,,,,,
4678,'architectural',-206.8,,,,,,,,,,,,,,,,
4679,'architectural',-220,,,,,,,,,,,,,,,,
4680,'architecture',-60,,,,,,,,,,,,,,,,
4681,'architectures',-400,,,,,,,,,,,,,,,,
4682,'Architectures',-171.2,,,,,,,,,,,,,,,,
4683,'architectures',-171.2,,,,,,,,,,,,,,,,
4684,'archive.',166.9,,,,,,,,,,,,,,,,
4685,"'archives,'",-291,,,,,,,,,,,,,,,,
4686,'are',-206.8,,,,,,,,,,,,,,,,
4687,'are',-193.2,,,,,,,,,,,,,,,,
4688,'are',-220,,,,,,,,,,,,,,,,
4689,'are',-220,,,,,,,,,,,,,,,,
4690,'are',-420,,,,,,,,,,,,,,,,
4691,'are',140,,,,,,,,,,,,,,,,
4692,'are',140,,,,,,,,,,,,,,,,
4693,'are',-500,,,,,,,,,,,,,,,,
4694,'are',-340,,,,,,,,,,,,,,,,
4695,'are',-313.2,,,,,,,,,,,,,,,,
4696,'are',-100,,,,,,,,,,,,,,,,
4697,'are',40,,,,,,,,,,,,,,,,
4698,'are',-268,,,,,,,,,,,,,,,,
4699,'are',-44,,,,,,,,,,,,,,,,
4700,'are',-244,,,,,,,,,,,,,,,,
4701,'are',-326.6,,,,,,,,,,,,,,,,
4702,'are',-220,,,,,,,,,,,,,,,,
4703,'are',-73.4,,,,,,,,,,,,,,,,
4704,'are',-460,,,,,,,,,,,,,,,,
4705,'are',-400,,,,,,,,,,,,,,,,
4706,'are',-140,,,,,,,,,,,,,,,,
4707,'are',-193.4,,,,,,,,,,,,,,,,
4708,'are',0,,,,,,,,,,,,,,,,
4709,'are',166.9,,,,,,,,,,,,,,,,
4710,'are',-300,,,,,,,,,,,,,,,,
4711,'are',-60,,,,,,,,,,,,,,,,
4712,'are',-20,,,,,,,,,,,,,,,,
4713,'are',-291,,,,,,,,,,,,,,,,
4714,'are',-171.2,,,,,,,,,,,,,,,,
4715,'are',-100,,,,,,,,,,,,,,,,
4716,'are',-60,,,,,,,,,,,,,,,,
4717,'are',-208.8,,,,,,,,,,,,,,,,
4718,'are',100,,,,,,,,,,,,,,,,
4719,'are',60,,,,,,,,,,,,,,,,
4720,'are',-60,,,,,,,,,,,,,,,,
4721,'are',-300,,,,,,,,,,,,,,,,
4722,'are',-300,,,,,,,,,,,,,,,,
4723,'are',-153.2,,,,,,,,,,,,,,,,
4724,'are:',140,,,,,,,,,,,,,,,,
4725,'are:',-500,,,,,,,,,,,,,,,,
4726,'are:',-73.4,,,,,,,,,,,,,,,,
4727,'are:',-400,,,,,,,,,,,,,,,,
4728,'are:',-140,,,,,,,,,,,,,,,,
4729,'are:',-100,,,,,,,,,,,,,,,,
4730,'are:',-208.8,,,,,,,,,,,,,,,,
4731,'are:',100,,,,,,,,,,,,,,,,
4732,'area',-206.8,,,,,,,,,,,,,,,,
4733,'area',-193.2,,,,,,,,,,,,,,,,
4734,'area',-420,,,,,,,,,,,,,,,,
4735,'area',140,,,,,,,,,,,,,,,,
4736,'area',-500,,,,,,,,,,,,,,,,
4737,'area',-326.6,,,,,,,,,,,,,,,,
4738,'area',-220,,,,,,,,,,,,,,,,
4739,'area',-460,,,,,,,,,,,,,,,,
4740,'area',-400,,,,,,,,,,,,,,,,
4741,'area',-140,,,,,,,,,,,,,,,,
4742,'area',-193.4,,,,,,,,,,,,,,,,
4743,'area',-20,,,,,,,,,,,,,,,,
4744,'area',-291,,,,,,,,,,,,,,,,
4745,'area',-171.2,,,,,,,,,,,,,,,,
4746,'area',-100,,,,,,,,,,,,,,,,
4747,'area',-208.8,,,,,,,,,,,,,,,,
4748,'area',100,,,,,,,,,,,,,,,,
4749,'area',60,,,,,,,,,,,,,,,,
4750,'area',-153.2,,,,,,,,,,,,,,,,
4751,"'area,'",-500,,,,,,,,,,,,,,,,
4752,"'area,'",-460,,,,,,,,,,,,,,,,
4753,'area.',-313.2,,,,,,,,,,,,,,,,
4754,'area.',-460,,,,,,,,,,,,,,,,
4755,'area.',-140,,,,,,,,,,,,,,,,
4756,'area.',-100,,,,,,,,,,,,,,,,
4757,'areas',-206.8,,,,,,,,,,,,,,,,
4758,'areas',-193.2,,,,,,,,,,,,,,,,
4759,'areas',-220,,,,,,,,,,,,,,,,
4760,'Areas',-220,,,,,,,,,,,,,,,,
4761,'areas',-420,,,,,,,,,,,,,,,,
4762,'areas',140,,,,,,,,,,,,,,,,
4763,'areas',140,,,,,,,,,,,,,,,,
4764,'areas',-500,,,,,,,,,,,,,,,,
4765,'areas',-340,,,,,,,,,,,,,,,,
4766,'areas',-313.2,,,,,,,,,,,,,,,,
4767,'areas',-100,,,,,,,,,,,,,,,,
4768,'areas',40,,,,,,,,,,,,,,,,
4769,'areas',-268,,,,,,,,,,,,,,,,
4770,'areas',-44,,,,,,,,,,,,,,,,
4771,'areas',-244,,,,,,,,,,,,,,,,
4772,'areas',-326.6,,,,,,,,,,,,,,,,
4773,'areas',-460,,,,,,,,,,,,,,,,
4774,'areas',-400,,,,,,,,,,,,,,,,
4775,'areas',-140,,,,,,,,,,,,,,,,
4776,'areas',0,,,,,,,,,,,,,,,,
4777,'areas',-300,,,,,,,,,,,,,,,,
4778,'areas',-60,,,,,,,,,,,,,,,,
4779,'areas',-291,,,,,,,,,,,,,,,,
4780,'areas',-171.2,,,,,,,,,,,,,,,,
4781,'areas',-100,,,,,,,,,,,,,,,,
4782,'areas',-60,,,,,,,,,,,,,,,,
4783,'areas',-208.8,,,,,,,,,,,,,,,,
4784,'areas',100,,,,,,,,,,,,,,,,
4785,'areas',-60,,,,,,,,,,,,,,,,
4786,'areas',-153.2,,,,,,,,,,,,,,,,
4787,'areas)',-140,,,,,,,,,,,,,,,,
4788,"'areas,'",-460,,,,,,,,,,,,,,,,
4789,"'areas,'",0,,,,,,,,,,,,,,,,
4790,"'areas,'",100,,,,,,,,,,,,,,,,
4791,'areas.',-220,,,,,,,,,,,,,,,,
4792,'areas.',-420,,,,,,,,,,,,,,,,
4793,'areas.',-313.2,,,,,,,,,,,,,,,,
4794,'areas.',-268,,,,,,,,,,,,,,,,
4795,'areas.',-44,,,,,,,,,,,,,,,,
4796,'areas.',-400,,,,,,,,,,,,,,,,
4797,'areas.',-60,,,,,,,,,,,,,,,,
4798,'areas.',60,,,,,,,,,,,,,,,,
4799,'areas:',-500,,,,,,,,,,,,,,,,
4800,'areas:',-313.2,,,,,,,,,,,,,,,,
4801,'areas:',-300,,,,,,,,,,,,,,,,
4802,'arena',-140,,,,,,,,,,,,,,,,
4803,"'arena,'",140,,,,,,,,,,,,,,,,
4804,"'arena,'",-500,,,,,,,,,,,,,,,,
4805,'arena.',-220,,,,,,,,,,,,,,,,
4806,"'Areva,'",-313.2,,,,,,,,,,,,,,,,
4807,"'Areva,'",-100,,,,,,,,,,,,,,,,
4808,"'AREVA,'",-20,,,,,,,,,,,,,,,,
4809,'argued',140,,,,,,,,,,,,,,,,
4810,'argument',140,,,,,,,,,,,,,,,,
4811,'arise',-460,,,,,,,,,,,,,,,,
4812,'arise',-193.4,,,,,,,,,,,,,,,,
4813,'arise',60,,,,,,,,,,,,,,,,
4814,'arise',-153.2,,,,,,,,,,,,,,,,
4815,"'arise,'",-60,,,,,,,,,,,,,,,,
4816,'arise;',-313.2,,,,,,,,,,,,,,,,
4817,'arisen',-313.2,,,,,,,,,,,,,,,,
4818,'arisen',-208.8,,,,,,,,,,,,,,,,
4819,'arises',-20,,,,,,,,,,,,,,,,
4820,'arising',-193.2,,,,,,,,,,,,,,,,
4821,'arising',-220,,,,,,,,,,,,,,,,
4822,'arising',-313.2,,,,,,,,,,,,,,,,
4823,'arising',-220,,,,,,,,,,,,,,,,
4824,'Arising',-400,,,,,,,,,,,,,,,,
4825,'arising',-400,,,,,,,,,,,,,,,,
4826,'arising',166.9,,,,,,,,,,,,,,,,
4827,'arising',-300,,,,,,,,,,,,,,,,
4828,'arising',60,,,,,,,,,,,,,,,,
4829,'arising',-153.2,,,,,,,,,,,,,,,,
4830,'Arjo',-44,,,,,,,,,,,,,,,,
4831,"'Ark,'",-220,,,,,,,,,,,,,,,,
4832,'ARM',-193.2,,,,,,,,,,,,,,,,
4833,'ARM',-313.2,,,,,,,,,,,,,,,,
4834,'ARM',-100,,,,,,,,,,,,,,,,
4835,'Arm',-100,,,,,,,,,,,,,,,,
4836,"'ARM,'",-206.8,,,,,,,,,,,,,,,,
4837,"'ARM,'",-313.2,,,,,,,,,,,,,,,,
4838,"'ARM,'",-460,,,,,,,,,,,,,,,,
4839,"'ARM,'",-60,,,,,,,,,,,,,,,,
4840,'ARM-ECS',-460,,,,,,,,,,,,,,,,
4841,'Armour',140,,,,,,,,,,,,,,,,
4842,'Armourers',140,,,,,,,,,,,,,,,,
4843,'arose',140,,,,,,,,,,,,,,,,
4844,'arose',-220,,,,,,,,,,,,,,,,
4845,'arose',-171.2,,,,,,,,,,,,,,,,
4846,'around',-193.2,,,,,,,,,,,,,,,,
4847,'around',-220,,,,,,,,,,,,,,,,
4848,'around',140,,,,,,,,,,,,,,,,
4849,'around',-340,,,,,,,,,,,,,,,,
4850,'around',-140,,,,,,,,,,,,,,,,
4851,'around',-300,,,,,,,,,,,,,,,,
4852,'around',-291,,,,,,,,,,,,,,,,
4853,'around',-60,,,,,,,,,,,,,,,,
4854,'around',100,,,,,,,,,,,,,,,,
4855,'around',-60,,,,,,,,,,,,,,,,
4856,'around:',-420,,,,,,,,,,,,,,,,
4857,'arrange',-171.2,,,,,,,,,,,,,,,,
4858,'arrange',-208.8,,,,,,,,,,,,,,,,
4859,'arranged',0,,,,,,,,,,,,,,,,
4860,'arranged',166.9,,,,,,,,,,,,,,,,
4861,'arrangement',-73.4,,,,,,,,,,,,,,,,
4862,'arrangement',-140,,,,,,,,,,,,,,,,
4863,'arrangements',-206.8,,,,,,,,,,,,,,,,
4864,'arrangements',140,,,,,,,,,,,,,,,,
4865,'arrangements',-268,,,,,,,,,,,,,,,,
4866,'arrangements',-208.8,,,,,,,,,,,,,,,,
4867,"'arrangements,'",-268,,,,,,,,,,,,,,,,
4868,"'arrangements,'",-400,,,,,,,,,,,,,,,,
4869,'arrangements.',-208.8,,,,,,,,,,,,,,,,
4870,'arranging',166.9,,,,,,,,,,,,,,,,
4871,'Array',40,,,,,,,,,,,,,,,,
4872,'ARs',-500,,,,,,,,,,,,,,,,
4873,'art',-326.6,,,,,,,,,,,,,,,,
4874,'art',-73.4,,,,,,,,,,,,,,,,
4875,'art',0,,,,,,,,,,,,,,,,
4876,'art',-300,,,,,,,,,,,,,,,,
4877,'art',-300,,,,,,,,,,,,,,,,
4878,'Art;',-73.4,,,,,,,,,,,,,,,,
4879,'artefacts',-244,,,,,,,,,,,,,,,,
4880,'artefacts.',-60,,,,,,,,,,,,,,,,
4881,'article',-193.2,,,,,,,,,,,,,,,,
4882,'articles',-460,,,,,,,,,,,,,,,,
4883,'articles',-208.8,,,,,,,,,,,,,,,,
4884,'articulate',-268,,,,,,,,,,,,,,,,
4885,'articulate',-326.6,,,,,,,,,,,,,,,,
4886,'articulating',-400,,,,,,,,,,,,,,,,
4887,'artificial',-220,,,,,,,,,,,,,,,,
4888,'artificial',-400,,,,,,,,,,,,,,,,
4889,'Arts',-291,,,,,,,,,,,,,,,,
4890,'arts',-291,,,,,,,,,,,,,,,,
4891,'Arts',-300,,,,,,,,,,,,,,,,
4892,'Arts',-300,,,,,,,,,,,,,,,,
4893,"'ARUP,'",-220,,,,,,,,,,,,,,,,
4894,'arwyn.thomas@siemens.com)',-220,,,,,,,,,,,,,,,,
4895,'ary',-340,,,,,,,,,,,,,,,,
4896,'As',-206.8,,,,,,,,,,,,,,,,
4897,'as',-206.8,,,,,,,,,,,,,,,,
4898,'as',-193.2,,,,,,,,,,,,,,,,
4899,'As',-220,,,,,,,,,,,,,,,,
4900,'as',-220,,,,,,,,,,,,,,,,
4901,'as',-220,,,,,,,,,,,,,,,,
4902,'As',-420,,,,,,,,,,,,,,,,
4903,'as',-420,,,,,,,,,,,,,,,,
4904,'as',140,,,,,,,,,,,,,,,,
4905,'as',140,,,,,,,,,,,,,,,,
4906,'as',-500,,,,,,,,,,,,,,,,
4907,'As',-340,,,,,,,,,,,,,,,,
4908,'as',-340,,,,,,,,,,,,,,,,
4909,'As',-313.2,,,,,,,,,,,,,,,,
4910,'as',-313.2,,,,,,,,,,,,,,,,
4911,'as',-100,,,,,,,,,,,,,,,,
4912,'As',40,,,,,,,,,,,,,,,,
4913,'as',40,,,,,,,,,,,,,,,,
4914,'as',-268,,,,,,,,,,,,,,,,
4915,'as',-44,,,,,,,,,,,,,,,,
4916,'As',-244,,,,,,,,,,,,,,,,
4917,'as',-244,,,,,,,,,,,,,,,,
4918,'as',-326.6,,,,,,,,,,,,,,,,
4919,'As',-220,,,,,,,,,,,,,,,,
4920,'as',-220,,,,,,,,,,,,,,,,
4921,'as',-73.4,,,,,,,,,,,,,,,,
4922,'as',-460,,,,,,,,,,,,,,,,
4923,'As',-400,,,,,,,,,,,,,,,,
4924,'as',-400,,,,,,,,,,,,,,,,
4925,'as',-140,,,,,,,,,,,,,,,,
4926,'As',-193.4,,,,,,,,,,,,,,,,
4927,'as',-193.4,,,,,,,,,,,,,,,,
4928,'As',0,,,,,,,,,,,,,,,,
4929,'as',0,,,,,,,,,,,,,,,,
4930,'As',166.9,,,,,,,,,,,,,,,,
4931,'as',166.9,,,,,,,,,,,,,,,,
4932,'As',-300,,,,,,,,,,,,,,,,
4933,'as',-300,,,,,,,,,,,,,,,,
4934,'As',-60,,,,,,,,,,,,,,,,
4935,'as',-60,,,,,,,,,,,,,,,,
4936,'as',-20,,,,,,,,,,,,,,,,
4937,'As',-291,,,,,,,,,,,,,,,,
4938,'as',-291,,,,,,,,,,,,,,,,
4939,'as',-171.2,,,,,,,,,,,,,,,,
4940,'As',-100,,,,,,,,,,,,,,,,
4941,'as',-100,,,,,,,,,,,,,,,,
4942,'as',-60,,,,,,,,,,,,,,,,
4943,'As',-208.8,,,,,,,,,,,,,,,,
4944,'as',-208.8,,,,,,,,,,,,,,,,
4945,'As',100,,,,,,,,,,,,,,,,
4946,'as',100,,,,,,,,,,,,,,,,
4947,'as',60,,,,,,,,,,,,,,,,
4948,'as',-60,,,,,,,,,,,,,,,,
4949,'as',-300,,,,,,,,,,,,,,,,
4950,'as',-300,,,,,,,,,,,,,,,,
4951,'As',-153.2,,,,,,,,,,,,,,,,
4952,'as',-153.2,,,,,,,,,,,,,,,,
4953,"'as,'",60,,,,,,,,,,,,,,,,
4954,'as:',-291,,,,,,,,,,,,,,,,
4955,'as:',100,,,,,,,,,,,,,,,,
4956,'Ascent',-400,,,,,,,,,,,,,,,,
4957,"'Ascent,'",-400,,,,,,,,,,,,,,,,
4958,'Asea',-100,,,,,,,,,,,,,,,,
4959,'Ashton',0,,,,,,,,,,,,,,,,
4960,'Asia',-60,,,,,,,,,,,,,,,,
4961,'Asia',-300,,,,,,,,,,,,,,,,
4962,'Asia',-300,,,,,,,,,,,,,,,,
4963,'Asia.',-300,,,,,,,,,,,,,,,,
4964,'Asia.',-300,,,,,,,,,,,,,,,,
4965,'aside',-291,,,,,,,,,,,,,,,,
4966,'asked',40,,,,,,,,,,,,,,,,
4967,'asked',-140,,,,,,,,,,,,,,,,
4968,'asked',-208.8,,,,,,,,,,,,,,,,
4969,'aspect',-60,,,,,,,,,,,,,,,,
4970,'aspect',-291,,,,,,,,,,,,,,,,
4971,'aspect',-171.2,,,,,,,,,,,,,,,,
4972,'aspects',-193.2,,,,,,,,,,,,,,,,
4973,'aspects',-420,,,,,,,,,,,,,,,,
4974,'aspects',-44,,,,,,,,,,,,,,,,
4975,'aspects',-300,,,,,,,,,,,,,,,,
4976,'aspects',-208.8,,,,,,,,,,,,,,,,
4977,'aspects',-60,,,,,,,,,,,,,,,,
4978,'aspheric',60,,,,,,,,,,,,,,,,
4979,'aspiration',-73.4,,,,,,,,,,,,,,,,
4980,'aspire',-206.8,,,,,,,,,,,,,,,,
4981,'assembly',-500,,,,,,,,,,,,,,,,
4982,'assembly)',-500,,,,,,,,,,,,,,,,
4983,"'Assembly,'",0,,,,,,,,,,,,,,,,
4984,'asserts',140,,,,,,,,,,,,,,,,
4985,'assess',-206.8,,,,,,,,,,,,,,,,
4986,'assess',-193.2,,,,,,,,,,,,,,,,
4987,'assess',-340,,,,,,,,,,,,,,,,
4988,'assess',0,,,,,,,,,,,,,,,,
4989,'assess',-300,,,,,,,,,,,,,,,,
4990,'assess',-60,,,,,,,,,,,,,,,,
4991,'assessed',40,,,,,,,,,,,,,,,,
4992,'assessing',-460,,,,,,,,,,,,,,,,
4993,'Assessment',-193.2,,,,,,,,,,,,,,,,
4994,'assessment',-193.2,,,,,,,,,,,,,,,,
4995,'assessment',-420,,,,,,,,,,,,,,,,
4996,'assessment',140,,,,,,,,,,,,,,,,
4997,'assessment',140,,,,,,,,,,,,,,,,
4998,'assessment',-100,,,,,,,,,,,,,,,,
4999,'Assessment',40,,,,,,,,,,,,,,,,
5000,'assessment',-244,,,,,,,,,,,,,,,,
5001,'Assessment',0,,,,,,,,,,,,,,,,
5002,'Assessment',-20,,,,,,,,,,,,,,,,
5003,'assessment',-20,,,,,,,,,,,,,,,,
5004,'assessment',-171.2,,,,,,,,,,,,,,,,
5005,'assessment',-208.8,,,,,,,,,,,,,,,,
5006,'Assessment',-60,,,,,,,,,,,,,,,,
5007,'assessment',-60,,,,,,,,,,,,,,,,
5008,'Assessment',-153.2,,,,,,,,,,,,,,,,
5009,'AssessmeNT)',-44,,,,,,,,,,,,,,,,
5010,"'assessment,'",140,,,,,,,,,,,,,,,,
5011,"'assessment,'",-268,,,,,,,,,,,,,,,,
5012,"'assessment,'",-60,,,,,,,,,,,,,,,,
5013,'Assessment:',-206.8,,,,,,,,,,,,,,,,
5014,'Assessment:',-193.2,,,,,,,,,,,,,,,,
5015,'Assessment:',-220,,,,,,,,,,,,,,,,
5016,'Assessment:',-220,,,,,,,,,,,,,,,,
5017,'Assessment:',-420,,,,,,,,,,,,,,,,
5018,'Assessment:',140,,,,,,,,,,,,,,,,
5019,'Assessment:',140,,,,,,,,,,,,,,,,
5020,'Assessment:',-500,,,,,,,,,,,,,,,,
5021,'Assessment:',-340,,,,,,,,,,,,,,,,
5022,'Assessment:',-313.2,,,,,,,,,,,,,,,,
5023,'Assessment:',-100,,,,,,,,,,,,,,,,
5024,'Assessment:',40,,,,,,,,,,,,,,,,
5025,'Assessment:',-268,,,,,,,,,,,,,,,,
5026,'Assessment:',-44,,,,,,,,,,,,,,,,
5027,'Assessment:',-244,,,,,,,,,,,,,,,,
5028,'assessment:',-326.6,,,,,,,,,,,,,,,,
5029,'Assessment:',-220,,,,,,,,,,,,,,,,
5030,'Assessment:',-73.4,,,,,,,,,,,,,,,,
5031,'Assessment:',-460,,,,,,,,,,,,,,,,
5032,'Assessment:',-400,,,,,,,,,,,,,,,,
5033,'Assessment:',-140,,,,,,,,,,,,,,,,
5034,'Assessment:',-193.4,,,,,,,,,,,,,,,,
5035,'Assessment:',166.9,,,,,,,,,,,,,,,,
5036,'Assessment:',-60,,,,,,,,,,,,,,,,
5037,'Assessment:',-20,,,,,,,,,,,,,,,,
5038,'Assessment:',-291,,,,,,,,,,,,,,,,
5039,'Assessment:',-171.2,,,,,,,,,,,,,,,,
5040,'Assessment:',-100,,,,,,,,,,,,,,,,
5041,'Assessment:',-60,,,,,,,,,,,,,,,,
5042,'Assessment:',-208.8,,,,,,,,,,,,,,,,
5043,'assessment:',100,,,,,,,,,,,,,,,,
5044,'Assessment:',60,,,,,,,,,,,,,,,,
5045,'Assessment:',-60,,,,,,,,,,,,,,,,
5046,'Assessment:',-300,,,,,,,,,,,,,,,,
5047,'Assessment:',-300,,,,,,,,,,,,,,,,
5048,'Asset',40,,,,,,,,,,,,,,,,
5049,'Asset',-460,,,,,,,,,,,,,,,,
5050,'asset',-400,,,,,,,,,,,,,,,,
5051,'asset',-140,,,,,,,,,,,,,,,,
5052,'assets',-193.2,,,,,,,,,,,,,,,,
5053,'assets',-220,,,,,,,,,,,,,,,,
5054,"'assets,'",-400,,,,,,,,,,,,,,,,
5055,'assigned',-193.2,,,,,,,,,,,,,,,,
5056,'assigned',-220,,,,,,,,,,,,,,,,
5057,'assigned',-60,,,,,,,,,,,,,,,,
5058,'assigned',100,,,,,,,,,,,,,,,,
5059,'assignment',-44,,,,,,,,,,,,,,,,
5060,'assignment',-220,,,,,,,,,,,,,,,,
5061,'assignment',60,,,,,,,,,,,,,,,,
5062,'assignment/',-171.2,,,,,,,,,,,,,,,,
